timestamp	ok	training_active	uptime	learn_calls	infer_calls	errors	neuron_count	current_stage	current_step	ann_loss	cnn_loss	snn_loss	lnn_loss	fno_loss	ann_steps	fno_steps	fno_params	hnn_active	hnn_energy	hnn_energy_deviation	snn_spikes	snn_rate_hz	snn_sparsity	stage2.active_engines	stage2.fep_free_energy	stage2.attention_strength	stage2.warm_start_complete	stage2.inference_time_ms
1.77712e+09	1	1	1779.68	1042	87	1	150000			21.1644	0.00256811	136.754	0.667064	0	296	597	34432	1	0.743557	0.105969	241926	0	0	0	0.105969	1	0	9186.59
1.77712e+09	1	1	1843.55	1042	96	1	150000			21.1644	0.00256811	136.754	0.667064	0	296	597	34432	1	0.743557	0.105969	234659	0	0	0	0.105969	1	0	9184.39
1.77712e+09	1	1	1911.86	1042	104	1	150000			21.1644	0.00256811	136.754	0.667064	0	296	597	34432	1	0.743557	0.105969	95579	0	0	0	0.105969	1	0	9182.75
1.77712e+09	1	1	1977.3	1042	113	1	150000			21.1644	0.00256811	136.754	0.667064	0	296	597	34432	1	0.743557	0.105969	44173	0	0	0	0.105969	1	0	9180.89
1.77712e+09	1	0	2054.99	1042	123	1	150000			21.1644	0.00256811	136.754	0.667064	0	296	597	34432	1	0.743557	0.105969	561972	3.11675	0.728132	0	0.105969	1	0	9178.42
1.77712e+09	1	1	2123.88	1110	123	2	150000			21.2823	0.00203809	137.916	0.529392	0	319	643	34432	1	0.739825	0.110457	692705	3.11675	0.728132	0	0.110457	1	0	9178.42
1.77712e+09	1	1	2184.34	1168	125	2	150000			21.4006	0.0016503	139.029	0.428664	0	340	685	34432	1	0.73554	0.115609	664677	3.68636	0.715265	0	0.115609	1	0	9177.57
1.77712e+09	1	1	2257.34	1240	126	2	150000			21.8443	0.00134979	142.173	0.350607	0	360	726	34432	1	0.729686	0.122647	756870	3.56431	0.718764	0	0.122647	1	0	9177.57
1.77712e+09	1	1	2322.76	1297	129	2	150000			22.0377	0.00118447	143.529	0.307665	0	373	753	34432	1	0.724505	0.128876	650284	3.57231	0.719016	0	0.128876	1	0	9176.78
1.77712e+09	1	1	2382.8	1367	129	2	150000			22.0657	0.000949506	143.914	0.246634	0	394	797	34432	1	0.718436	0.136174	774714	3.57231	0.719016	0	0.136174	1	0	9176.78
1.77712e+09	1	1	2449.86	1415	132	2	150000			22.1453	0.000808464	144.505	0.209998	0	411	830	34432	1	0.714878	0.140452	663560	3.6452	0.713844	0	0.140637	1	0	9176.02
1.77712e+09	1	1	2511.47	1521	132	2	150000			22.2752	0.00064809	145.482	0.168341	0	433	874	34432	1	0.706154	0.150942	786986	3.6452	0.713844	0	0.151508	1	0	9176.02
1.77712e+09	1	1	2573.98	1586	135	2	150000			22.2039	0.000598021	145.057	0.155336	0	441	891	34432	1	0.700811	0.157366	706233	3.6728	0.71215	0	0.157366	1	0	9176.2
